school-eng	address	address-match
117261	2X6MTFVS	
117371	9B1AJKB	
117222	2X6MTEAJ	
117445	9C3HAY7	
117547	2X6MTBBK	
137792	2X6MTBBK	
133323	5T8GM5Z3	
117265	5T8GM5Z3	byhand
117264	5T8GM5Z3	
138322	5T8JHBYW;9C3H984	
117464	5T8JHBYW	byhand
117476	9C3H984	byhand
117077	2X6MYCMV	byhand
117170	5T8FRCN0	
129174	2X6MDBK5	byhand
117294	2X6MTGAT	
117452	5T8JAHE1	byhand
117163	2X6MYFQM	byhand
117162	2X6MYFQH	
117562	9B1AHGK	
117576	2X6MYGZH	
136899	2X6MYGZH	
117172	2X6MTH0Y	
117205	5T8FDF2Q	
117206	9ADG70Z	byhand
117080	9C3QP0K	
117251	9C3QNNT	byhand
117664	2X6MZT45	
141251	2X6MZT45	
117128	5T8GM5Z6;5T8GM5Z6	
117256	2X6MTSD7	byhand
117259	2X6MXJY8	
117396	2X6MXBT5	byhand
117496	9B1AJKK	byhand
129150		byhand
117414	5T8JQEX2	byhand
117315	2X6MTD7F	
117506	2X6MXAZE	
137985	2X6MXAZE	
117403	9C3H4EC	byhand
117614	9C3HAE9	byhand
117271	2X6MXAJ9	byhand
117453	9B1RB29	byhand
102256	9B1AK1J	byhand
117224	5T8GM5YV	byhand
136877	9AE04NH	
117582	9AE04NH	byhand
117609	2X6MTHW3	
117354	2X6MXKK5	byhand
117646	2X6MYN7R	byhand
117652	9B1AH7W	byhand
117615	9AD5AX0	byhand
117543	9B09WFM	byhand
140249	9B09WFM	byhand
117236	9AQQSA1	
117288	2X6MTDTD	byhand
133738	9C3QPNH	byhand
117129	2X6MXNM0	
117280	9B09WC0	byhand
139835	2X6MTHY9	byhand
117501	9B09VXK	
139873	9B09VXK	
117346	2X6MTKGY	byhand
117304	5T8FR92K	
117572	2X6MYHSM	
136606	2X6MYHSM	
135890	4D5GPC	byhand
129170	9B1AJW2	byhand
117204	9C3QNHH	byhand
117199	9C3QNHH	byhand
133263	9C3QNHH	byhand
117406	9B09WFN	byhand
136247	9A2N551	byhand
117332	2X6MXNAN	
129173	9B1AJW2	byhand
117338	4D5CE2	
143409	4D5CE2	
117239	2X6MTSE6	
117299	9APZHJM	
117520	2X6MTFB6	
136973	2X6MTFB6	
117211	5T8JAR3E	
117257	2X6MTGAS	
117641	5T8FR936	byhand
117545	2X6MXNAP	
137657	2X6MXNAP	
117631	2X6MYKBT	byhand
117072	4D5GWB	
117351	4D5QYQ	byhand
117493	9B1AJXK	byhand
117488	9B1AJXK	byhand
117195	9B1AHQY	
117491	5T8JAH43	byhand
117471	5T8JQE5F	byhand
117489	5T8GM26F	byhand
117590	2X6MSZSZ	byhand
137914	2X6MSZSZ	byhand
117589	5T8FR6GF	byhand
137922	5T8FR6GF	byhand
117498	9B0E1TM	byhand
117185	5T8JHBZT	byhand
117337	9ADWWZ9	byhand
138582	2X6MTAPX	byhand
117147	2X6MXNX1	
117148	2X6MTEVR	
117548	5T8JAHHX	
136609	5T8JAHHX	
117404	5T8FRA17	byhand
117102	5T8GM330	
117150	9B1AHCZ	
135084	9C3QNZ0	
117247	5T8FDGVQ	byhand
130363	5T8FR93G	byhand
117096	5T8FR93G	
117353	4D5BFS	byhand
117538	4D5BSY	
143131	4D5BSY	
129172	5T8JHE7M	byhand
117622	5T8JHE7M	byhand
140294	2X6MXBT7	
117519	2X6MXBT7	byhand
117525	2X6MTGFN	
129155		byhand
117511	2X6MTFDH	
137270	2X6MTFDH	
117546	2X6MTH64	byhand
129149		
117240	2X6MTEVX	byhand
117110	9A2N6DJ	byhand
117661	5T8FNG55	byhand
133134	5T8FNG55	byhand
130349	2X6MYG0S	byhand
130362	9CQJT5Q;5T8G8R8C	
117405	9B09PAV	byhand
129185	2X6N0380	byhand
117325	5T8JHB1W	
117470	5T8JAQT5	byhand
117450	5T8JAH43	byhand
117524	2X6MTDMM	
137339	2X6MTDMM	
117617	2X6MTA18	byhand
134087	2X6MT9QA	byhand
117647	5T8JAGTK	
117467	5T8GM5Z1	byhand
117407	9B09WH6	byhand
117444	9B09WAV	byhand
117495	5T8FR0DR	
